Sitename	Sitecode	Realm	TropicalSubtropicalCold	Code_Region	Code_Province	Code_SubProvince	Region	Province	SubProvince	Latitude	Longitude	Sstmean	Sstmin	Sstmax	Refugia_isolation	Sst_Past	Meansurface	Chla_Mean	Distance_BC	Isol_habitat	Geology	Surface_area_present	Area_Iso_50mt	Shallow_Reef_area_50mt	Area_Iso_200mt	Shallow_Reef_area_200mt	Surface_area_past	Area_sub_past_50mt	Area_sub_past_200mt	Age_Ma
Aldabra	ald	Indian	T	WI	WI	WII	West_Indian	West_Indian	West_Indian_Isl	-9,424537	46,355643	27	24	29,30375	68,22809794	26,321879	0	0,044428	7579	394,4222841	oceanic	332,5311	408,3689	75,83778	550,783	218,2519	447,5596	46,69359	169,3686	2,58
Ambon_islands	amb	Pacific	T	CIP	CIP	TRIA	Central_Indo_Pac	Central_Indo_Pac	Coral_Triangle	-3,599367	128,386728	28,06652	26	30	1,111408571	27,78056	70,857143	0,064836	1881	271,1212679	oceanic	810,462	1236,084	425,6216	1626,01	815,5478	1408,715	131,6221	447,904	3,4
Andaman_Nicobar	and	Indian	T	CIP	CIP	AND	Central_Indo_Pac	Central_Indo_Pac	Andaman_Sea	11,429107	92,97944	29	27	30,21262	15,79016115	25,77793	27,142857	0,047449	2649	363,9421429	oceanic	5780,785	12490,65	6709,869	17063,96	11283,18	16538,81	363,0658	1332,031	2,8
Ascension	asc	Atlantic	S	WA	AI	AI	West_Atl	Atl_Isl	Atl_Isl	-7,938547	-14,367347	25	23,901997	27,195863	612,358209	22,76682	0	0,031515	6120	1658,899	oceanic	99,48443	50,98	48,50443	207,748	108,263	174,509	20,881	77,98388	1,15
Australes_Islands	aus	Pacific	S	CP	PO	SPO	Central_Pac	Polynesia	South_Polyn	-23,371203	-149,166008	25	22,95695	27	252,3462781	25,04933	0	0,02	10100	447,7363828	oceanic	45,70379	145,3258	99,62202	183,2366	137,5328	164,2802	13,4275	53,1193	8,74
Azores	azo	Atlantic	C	EA	NEA	NEAI	East_Atl	North_East_Atl	North_East_Atl	38,2	-26,8	18	15	23	700	15,28669	0	0,04818	4796,18	1187,51	oceanic	1141,854	1487,553	345,6988	2224,411	1082,556	1912,753	225,1014	727,7064	22,57
Baker_and_Howland	bak	Pacific	T	CP	CP	WPO	Central_Pac	Central_Pac	West_Polyn	0,411524	-176,524819	28	26,16563	29	181,1979305	26,78435	0	0,043807	7050	520,9079771	oceanic	1,635425	1,936243	0,30008182	5,80873	4,173306	2,796796	1,936244	6,239008	70,1
Bermuda	ber	Atlantic	S	WA	CAR	CAR	West_Atl	Caraibes	Caraibes	32,367036	-64,813618	22,59128	18,54527	27,91581	680	20,3802	0	0,066055	2065	1132,788	oceanic	68,2596	768,2169	699,9573	841,6343	773,3747	813,8318	18,53799	54,69573	47
Cabo_Verde	cab	Atlantic	S	EA	EA	EA	East_Atl	East_Atl	East_Atl	15,633885	-23,25624	24	22	27	700	22,07102	0	0,049297	4566	711,736	oceanic	4085,01517	6301,566	2216,55083	9362,068	5277,05283	8417,282	612,5297	1975,907	9,09
Canaries	can	Atlantic	C	EA	EA	EA	East_Atl	East_Atl	East_Atl	28,390059	-15,315743	20,93477	18	23	700	18,1563	0	0,036098	5542	227,1758	oceanic	7698,612	9607,233	1908,621	13067,68	5368,066	12115,68	693,9567	1841,173	14,5
