Class	Order	Family	Genus	species	Genus_species	Gaspar_code	Size_cm	Geo_range	Diet_level	Home_range	Activity	Level_water	Schooling
actinopterygii_(ray-finned_fishes)	tetraodontiformes	balistidae	abalistes	filamentosus	abalistes_filamentosus	62612	32,5	7	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	balistidae	abalistes	stellaris	abalistes_stellaris	9	60	38	IM	VMob	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	tetraodontiformes	balistidae	abalistes	stellatus	abalistes_stellatus	58334	60	56	IM	Sed	Day	Bottom	Sol
actinopterygii_(ray-finned_fishes)	scorpaeniformes	tetrarogidae	ablabys	binotatus	ablabys_binotatus	8049	15	11	IM	Sed	Night	Bottom	Sol
actinopterygii_(ray-finned_fishes)	scorpaeniformes	tetrarogidae	ablabys	macracanthus	ablabys_macracanthus	25701	20	17	IM	Sed	Night	Bottom	Sol
actinopterygii_(ray-finned_fishes)	scorpaeniformes	tetrarogidae	ablabys	taenianotus	ablabys_taenianotus	10232	15	45	IM	Sed	Night	Bottom	Sol
actinopterygii_(ray-finned_fishes)	beloniformes	belonidae	ablennes	hians	ablennes_hians	972	140	103	FC	VMob	Both	High	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	abdominalis	abudefduf_abdominalis	6652	30	3	PK	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	bengalensis	abudefduf_bengalensis	6517	17	45	PK	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	concolor	abudefduf_concolor	11793	19	13	OM	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	conformis	abudefduf_conformis	55476	13,1	7	PK	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	declivifrons	abudefduf_declivifrons	55868	18	9	OM	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	hoefleri	abudefduf_hoefleri	11811	20	2	OM	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	lorenzi	abudefduf_lorenzi	5685	18	21	OM	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	luridus	abudefduf_luridus	11820	15	6	OM	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	margariteus	abudefduf_margariteus	11823	16	3	OM	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	natalensis	abudefduf_natalensis	11825	17	8	IM	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	notatus	abudefduf_notatus	5686	17	53	OM	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	saxatilis	abudefduf_saxatilis	1119	22,89999962	40	OM	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	septemfasciatus	abudefduf_septemfasciatus	5687	23	87	OM	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	sexfasciatus	abudefduf_sexfasciatus	5688	16	92	PK	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	sordidus	abudefduf_sordidus	5689	23	106	OM	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	sparoides	abudefduf_sparoides	8018	16	12	OM	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	taurus	abudefduf_taurus	1120	25	17	OM	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	troschelii	abudefduf_troschelii	8245	20	19	PK	Mob	Day	Low	SmallG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	vaigiensis	abudefduf_vaigiensis	6630	20	105	PK	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	pomacentridae	abudefduf	whitleyi	abudefduf_whitleyi	9626	14	9	PK	Sed	Day	Low	MedG
actinopterygii_(ray-finned_fishes)	perciformes	chaenopsidae	acanthemblemaria	atrata	acanthemblemaria_atrata	60573	3,8	1	PK	Sed	Day	Bottom	Sol
